sample,fastq_1,fastq_2,strandedness
Sham_oxy,SRX19144488_SRR23195511_1.fastq.gz,SRX19144488_SRR23195511_2.fastq.gz,auto
SNI_oxy,SRX19144486_SRR23195516_1.fastq.gz,SRX19144486_SRR23195516_2.fastq.gz,auto
